"Grant","Organization Name","Focus Area","Amount","Date"
"University of Tübingen — Robustness Research (Wieland Brendel)","University of Tübingen","Potential Risks from Advanced Artificial Intelligence","$590,000","2/2021"
"Council on Energy, Environment, and Water — Air Quality Sensors in South Asia","Council on Energy, Environment, and Water","Global Health & Development","$410,000","2/2021"
"University of Pennsylvania — Geopolitical Forecasting Research (2021)","University of Pennsylvania","Other areas","$132,181","2/2021"
"Weill Cornell Medical College — COVID-19 Antiviral Studies (Ria Goswami)","Weill Cornell Medical College","Scientific Research","$220,553","2/2021"
"Changing Markets Foundation — Fish Welfare Retail Campaigns","Changing Markets Foundation","Farm Animal Welfare","$500,000","2/2021"
"American Conservative Union Foundation — Criminal Justice Reform (2021)","American Conservative Union Foundation","Criminal Justice Reform","$150,000","2/2021"
"Massachusetts Institute of Technology — Adversarial Robustness Research","Massachusetts Institute of Technology","Potential Risks from Advanced Artificial Intelligence","$1,430,000","2/2021"
"Centre for Effective Altruism — General Support (2021)","Centre for Effective Altruism","Other areas","$7,500,000","2/2021"
"Crustacean Compassion — General Support","Crustacean Compassion","Farm Animal Welfare","$786,830","2/2021"
"Crate-Free Illinois — Campaigning Against Gestation Crates (2021)","Crate-Free Illinois","Farm Animal Welfare","$70,350","2/2021"
"Mount Kenya University — Farm Animal Welfare Science Masters Program","Mount Kenya University","Farm Animal Welfare","$167,766","1/2021"
"OliLux Biosciences — Rapid Tuberculosis Detection and Treatment Management Tools","OliLux Biosciences","Scientific Research","$400,000","1/2021"
"Centre for Pesticide Suicide Prevention — General Support (2021)","Centre for Pesticide Suicide Prevention","Global Health & Development","$6,949,382","1/2021"
"Frontline Wellness — General Support","Frontline Wellness","Criminal Justice Reform","$240,000","1/2021"
"Effective Altruism Debate Championship — General Support","Effective Altruism Debate Championship","Other areas","$5,915","1/2021"
"Fair and Just Prosecution — General Support (2021)","Fair and Just Prosecution","Criminal Justice Reform","$1,500,000","1/2021"
"Ayni Institute — Criminal Justice Reform Coaching (2021)","Ayni Institute","Criminal Justice Reform","$100,000","1/2021"
"Center for Security and Emerging Technology — General Support","Center for Security and Emerging Technology","Potential Risks from Advanced Artificial Intelligence","$8,000,000","1/2021"
"UC Berkeley — Center for Human-Compatible Artificial Intelligence (2021)","UC Berkeley","Potential Risks from Advanced Artificial Intelligence","$11,355,246","1/2021"
"Berryville Institute of Machine Learning — Machine Learning Security Research","Berryville Institute of Machine Learning","Potential Risks from Advanced Artificial Intelligence","$150,000","1/2021"
"Positive Money Europe — Macroeconomic Policy Research and Advocacy","Positive Money Europe","Macroeconomic Stabilization Policy","$73,368","1/2021"
"People for Animals Uttarakhand — Farm Animal Welfare Fellowship","People for Animals Uttarakhand","Farm Animal Welfare","$85,000","1/2021"
"UC Santa Cruz — Adversarial Robustness Research","UC Santa Cruz","Potential Risks from Advanced Artificial Intelligence","$265,000","1/2021"
"GiveDirectly — General Support (2021)","GiveDirectly","Global Health & Development","$500,000","1/2021"
"New Incentives — General Support (2021)","New Incentives","Global Health & Development","$16,785,243","1/2021"
"Stanford Existential Risks Initiative — Global Catastrophic Risk Education","Stanford Existential Risks Initiative","Global Catastrophic Risks","$1,500,000","1/2021"
"Institute of Agrifood Research and Technology — Fish Welfare Certification Standards","Institute of Agrifood Research and Technology","Farm Animal Welfare","$237,043","1/2021"
"Dignity and Power Now — Decarceration Work","Dignity and Power Now","Criminal Justice Reform","$1,700,000","12/2020"
"UC Berkeley — Air Quality Sensors in South Asia","UC Berkeley","Global Health & Development","$700,000","12/2020"
"Fórum Nacional de Proteção e Defesa Animal — Crate- and Cage-Free Campaigning in Brazil (2020)","Fórum Nacional de Proteção e Defesa Animal","Farm Animal Welfare","$100,000","12/2020"
"Altruistic Technology Labs — Planning Grant","Altruistic Technology Labs","Biosecurity and Pandemic Preparedness","$250,000","12/2020"
"Faith in Action — Street Certified","Faith in Action","Criminal Justice Reform","$400,000","12/2020"
"Founders Pledge — General Support (2020)","Founders Pledge","Other areas","$1,500,000","12/2020"
"Malaria Consortium — Seasonal Malaria Chemoprevention Programs (December 2020)","Malaria Consortium","Global Health & Development","$27,076,757","12/2020"
"Helen Keller International — Vitamin A Supplementation (December 2020)","Hellen Keller International","Global Health & Development","$8,059,000","12/2020"
"University of Toronto — Machine Learning Research","University of Toronto","Potential Risks from Advanced Artificial Intelligence","$520,000","12/2020"
"The Ahimsa Collective — “Life Comes From It” Fund Administration (2020)","The Ahimsa Collective","Criminal Justice Reform","$155,000","12/2020"
"University of Glasgow — Animal Welfare Research","University of Glasgow","Farm Animal Welfare","$109,552","12/2020"
"The END Fund — General Support (2020)","The END Fund","Global Health & Development","$500,000","12/2020"
"Against Malaria Foundation — General Support (2020)","Against Malaria Foundation","Global Health & Development","$6,651,000","12/2020"
"Texas Freedom Network — Texas Rising Program (2020)","Texas Freedom Network","Criminal Justice Reform","$150,000","12/2020"
"Evidence Action — Deworm the World Initiative","Evidence Action","Global Health & Development","$4,103,000","12/2020"
"The Humane League-UK — General Support","The Humane League-UK","Farm Animal Welfare","$507,900","12/2020"
"University of Pennsylvania — Research on Mammalian Reproduction (Kotaro Sasaki) (2020)","University of Pennsylvania","Scientific Research","$1,000,000","12/2020"
"GLOBALG.A.P. — Fish Welfare Standards","GLOBALG.A.P.","Farm Animal Welfare","$90,554","11/2020"
"Massachusetts Institute of Technology — AI Trends and Impacts Research","Massachusetts Institute of Technology","Potential Risks from Advanced Artificial Intelligence","$275,344","11/2020"
"Impact Alliance — Cage-Free Program","Impact Alliance","Farm Animal Welfare","$40,000","11/2020"
"University of New South Wales — In Vitro Fertilization Research (Robert Gilchrist)","University of New South Wales ","Scientific Research","$2,500,000","11/2020"
"Washington University in St. Louis — Research on Cryptosporidium Hominis (David Sibley)","Washington University in St. Louis","Scientific Research","$1,004,589","11/2020"
"Power Coalition for Equity and Justice — Criminal Justice Reform (2020)","Power Coalition for Equity and Justice","Criminal Justice Reform","$30,000","11/2020"
"International Refugee Assistance Project — General Support (2020)","International Refugee Assistance Project","Immigration Policy","$1,000,000","11/2020"
"A New Way of Life — Civic Engagement Work","A New Way of Life","Criminal Justice Reform","$200,000","11/2020"
"Urban Institute — Countercyclical State Funding Mechanisms","Urban Institute","Macroeconomic Stabilization Policy","$50,000","11/2020"
"Dezernat Zukunft — Monetary and Fiscal Policy in Europe (2020)","Dezernat Zukunft","Macroeconomic Stabilization Policy","$202,079","11/2020"
"Telethon Kids Institute (University of Western Australia) — Strep A Vaccine (Jonathan Carapetis)","Telethon Kids Institute","Scientific Research","$5,300,000","11/2020"
"International Centre of Insect Physiology and Ecology — Malaria Prevention Research (Jeremy Herren)","International Centre of Insect Physiology and Ecology","Scientific Research","$2,199,645","11/2020"
"Future of Life Institute — General Support (2020)","Future of Life Institute","Global Catastrophic Risks","$176,000","11/2020"
"Compassion in World Farming — Farm Animal Welfare in Asia","Compassion in World Farming","Farm Animal Welfare","$1,228,407","11/2020"
"1Day Sooner — General Support (November 2020)","1Day Sooner","Biosecurity and Pandemic Preparedness","$600,000","11/2020"
"University of Bern — Layer Hen Breeding Research","University of Bern","Farm Animal Welfare","$410,000","11/2020"
"Global Health Security Network — Global Health Security Conference","Global Health Security Network","Biosecurity and Pandemic Preparedness","$50,000","11/2020"
"Material Innovation Initiative — Plant-Based Fashion Alternatives","Material Innovation Initiative ","Farm Animal Welfare","$200,000","11/2020"
"AI Impacts — General Support (2020)","AI Impacts","Potential Risks from Advanced Artificial Intelligence","$50,000","11/2020"
"International Farm Animal Welfare Fellowship — Farm Animal Welfare Fellowship Program","International Farm Animal Welfare Fellowship","Farm Animal Welfare","$58,050","11/2020"
"221B Foundation — COVID-19 Testing in Nepal (Jay Mahat)","221B Foundation","Scientific Research","$100,000","11/2020"
"Binx — COVID-19 Testing Platform","Binx","Scientific Research","$2,000,000","11/2020"
"Reclaim Philadelphia — Judge Accountability Work (2020)","Reclaim Philadelphia","Criminal Justice Reform","$165,000","11/2020"
"Yale University — Cardiovascular Disease Therapy Research","Yale University","Scientific Research","$450,000","11/2020"
"L214 — Broiler Welfare Campaigns in France (2020)","L214","Farm Animal Welfare","$1,642,046","11/2020"
"Council on Strategic Risks — Biological Weapons Prevention (November 2020)","Council on Strategic Risks","Biosecurity and Pandemic Preparedness","$780,000","11/2020"
"VasoRX — Atherosclerosis and Pulmonary Arterial Hypertension Therapy","VasoRX","Scientific Research","$5,550,000","11/2020"
"Direct Relief — COVID-19 Action Fund for Africa","Direct Relief","Global Health & Development","$275,000","10/2020"
"Frontline Dads — General Support (October 2020)","Frontline Dads","Criminal Justice Reform","$60,000","10/2020"
"GiveWell — General Support (October 2020)","GiveWell","Global Health & Development","$2,389,753","10/2020"
"University of Glasgow — Malaria Prevention Research (Steven Sinkins)","University of Glasgow","Scientific Research","$3,175,000","10/2020"
"YIMBY Law — General Support (October 2020)","YIMBY Law","Land Use Reform","$500,000","10/2020"
"Movement Alliance Project — Prosecutor Accountability (October 2020)","Movement Alliance Project","Criminal Justice Reform","$245,000","10/2020"
"ANTI-VeC — Malaria Prevention Research","ANTI-VeC","Scientific Research","$700,000","10/2020"
"Effective Altruism Foundation — European Policy Research and Advocacy","Effective Altruism Foundation","Global Health & Development","$375,000","10/2020"
"UC Berkeley — In-Line Water Chlorination Devices (Amy Pickering)","UC Berkeley","Scientific Research","$99,000","10/2020"
"Massachusetts Institute of Technology Media Lab — DNA Synthesis Screening Methods","Massachusetts Institute of Technology Media Lab","Biosecurity and Pandemic Preparedness","$890,000","10/2020"
"Center for a New American Security — AI and Security Projects","Center for a New American Security","Potential Risks from Advanced Artificial Intelligence","$116,744","10/2020"
"Success Stories — Workshop Support","Success Stories","Criminal Justice Reform","$50,000","10/2020"
"Re-Imagine L.A. County — Measure J","Yes on J: Re-Imagine L.A. County","Criminal Justice Reform","$140,000","10/2020"
"University Health Network — Preterm Birth Research (2020)","University Health Network","Scientific Research","$1,228,000","10/2020"
"Animal Welfare Awareness, Research, and Education — Farm Animal Welfare Work","Animal Welfare Awareness, Research, and Education","Farm Animal Welfare","$64,600","10/2020"
"Center for a New American Security — AI Governance Projects","Center for a New American Security","Potential Risks from Advanced Artificial Intelligence","$24,350","10/2020"
"Sisters Unchained — General Support","Sisters Unchained","Criminal Justice Reform","$25,000","10/2020"
"Colorado Criminal Justice Reform Coalition 4 Action — Prosecutor Accountability","Colorado Criminal Justice Reform Coalition 4 Action","Criminal Justice Reform","$100,000","10/2020"
"Helping Educate to Advance the Rights of Deaf Communities — General Support (2020)","Helping Educate to Advance the Rights of Deaf Communities","Criminal Justice Reform","$50,000","10/2020"
"Vegan Women Summit — Plant- and Cell-Based Startup Pitch Competition","Vegan Women Summit","Farm Animal Welfare","$20,000","10/2020"
"Smitha Milli — Participatory Approaches to Machine Learning Workshop","Smitha Milli","Potential Risks from Advanced Artificial Intelligence","$370","10/2020"
"Centre for Effective Altruism — Longtermist Incubator","Centre for Effective Altruism","Other areas","$500,000","9/2020"
"Federation of American Scientists — International Science Advisory Body for Biosecurity","Federation of American Scientists","Biosecurity and Pandemic Preparedness","$175,000","9/2020"
"The Humane League — Open Wing Alliance (2020)","The Humane League","Farm Animal Welfare","$3,600,000","9/2020"
"Center for International Security and Cooperation — AI Accident Risk and Technology Competition","Center for International Security and Cooperation ","Potential Risks from Advanced Artificial Intelligence","$67,000","9/2020"
"Rice, Hadley, Gates and Manuel LLC — AI Accident Risk and Technology Competition","Rice, Hadley, Gates & Manuel LLC","Potential Risks from Advanced Artificial Intelligence","$25,000","9/2020"
"Asia for Animals — Farm Animal Welfare Coordinator","Asia for Animals","Farm Animal Welfare","$52,400","9/2020"
"Free Hearts — Criminal Justice Reform (2020)","Free Hearts","Criminal Justice Reform","$150,000","9/2020"
"World Animal Net — Broiler Chicken and Pig Welfare Guidelines ","World Animal Net","Farm Animal Welfare","$37,600","9/2020"
"University of California, Los Angeles — Social Science Genetic Association Consortium (2020)","University of California, Los Angeles","Scientific Research","$2,250,000","9/2020"
"Run, George, Run — General Support (September 2020)","Run, George, Run","Criminal Justice Reform","$45,000","9/2020"
"We Got Us Now — Leadership, Training, and Planning Support (2020)","We Got Us Now","Criminal Justice Reform","$100,000","9/2020"
"AcceleratingHT — COVID-19 Response ","AcceleratingHT","Biosecurity and Pandemic Preparedness","$50,000","9/2020"
"Newark Community Street Team — Community-Based Public Safety Work","Newark Community Street Team","Criminal Justice Reform","$60,000","9/2020"
"Center for Strategic and International Studies — AI Accident Risk and Technology Competition","Center for Strategic and International Studies","Potential Risks from Advanced Artificial Intelligence","$118,307","9/2020"
"BlackRoots Alliance — Work on Prosecutor Accountability (2020)","BlackRoots Alliance","Criminal Justice Reform","$15,000","9/2020"
"Black Strategy Fund — General Support","Black Strategy Fund","Criminal Justice Reform","$100,000","9/2020"
"Riboscience — COVID-19 Drug Research","Riboscience","Scientific Research","$210,000","9/2020"
"UC Berkeley — Assessing COVID-19 Infection Prevalence in Rural Kenya (Amy Pickering and Michael Kremer)","UC Berkeley","Scientific Research","$220,000","8/2020"
"University of Pennsylvania — Geopolitical Forecasting Research (2020)"," University of Pennsylvania ","Other areas","$29,432","8/2020"
"InMyWords — Restorative Justice","InMyWords","Criminal Justice Reform","$61,500","8/2020"
"Icosavax — COVID-19 Vaccine Development","Icosavax","Scientific Research","$6,500,000","8/2020"
"Labor Mobility Partnerships — International Labor Mobility","Labor Mobility Partnerships","Immigration Policy","$500,000","8/2020"
"Workers Center for Racial Justice — Prosecutorial Accountability in Chicago (2020)","Workers Center for Racial Justice","Criminal Justice Reform","$20,000","8/2020"
"Catalyst — Farm Animal Welfare i﻿n Thailand","Catalyst","Farm Animal Welfare","$350,000","8/2020"
"Southsiders Organized for Unity and Liberation — Prosecutorial Accountability","Southsiders Organized for Unity and Liberation","Criminal Justice Reform","$150,000","8/2020"
"Economic Policy Institute — Macroeconomic Policy Research (2020)","Economic Policy Institute","Macroeconomic Stabilization Policy","$550,000","8/2020"
"Michigan Liberation — Prosecutor Accountability (2020)","Michigan Liberation","Criminal Justice Reform","$80,000","8/2020"
"Royal Society for the Prevention of Cruelty to Animals — Farm Animal Welfare Advocacy in Asia (2020)","Royal Society for the Prevention of Cruelty to Animals","Farm Animal Welfare","$500,000","8/2020"
" Early-Career Funding for Global Catastrophic Biological Risks — Scholarship Support (2019-2020)","Early-Career Funding for Global Catastrophic Biological Risks","Biosecurity and Pandemic Preparedness","$1,402,330","7/2020"
"Group Nine Media — Factory Farming Videos (2020)","Group Nine Media","Farm Animal Welfare","$680,448","7/2020"
"Employ America — General Support (2020)","Employ America","Macroeconomic Stabilization Policy","$1,000,000","7/2020"
"The People's Lobby — Prosecutorial Accountability","The People's Lobby","Criminal Justice Reform","$125,000","7/2020"
"Mass Liberation Project — General Support (2020)","Mass Liberation Project","Criminal Justice Reform","$150,000","7/2020"
"215 People's Alliance — Criminal Justice Reform Coalition","215 People’s Alliance","Criminal Justice Reform","$155,000","7/2020"
"New York University — Work on Fish Welfare (2020)","New York University","Farm Animal Welfare","$95,000","7/2020"
"Stanford University — Universal Flu Drug Research (Jeffrey Glenn)","Stanford University","Scientific Research","$415,000","7/2020"
"VST Bio — Stroke Treatment","VST Bio","Scientific Research","$2,000,000","7/2020"
"VegeProject — Corporate Outreach","VegeProject","Farm Animal Welfare","$102,400","7/2020"
"Project NIA — Transformative Justice Work Led by Mariame Kaba (2020)","Project NIA","Criminal Justice Reform","$170,000","7/2020"
"Dharma Voices for Animals — Farm Animal Welfare Legislation","Dharma Voices for Animals","Farm Animal Welfare","$150,000","7/2020"
"Rita Allen Foundation — Award in Pain Scholars ","Rita Allen Foundation","Scientific Research","$330,000","7/2020"
"Momentum — Criminal Justice Reform Trainings (2020)","Momentum","Criminal Justice Reform","$9,000","7/2020"
"Grassroots Leadership, Inc. — Texas Advocates for Justice Project (2020)"," Grassroots Leadership, Inc.","Criminal Justice Reform","$150,000","7/2020"
"Wilson Center — AI Policy Seminar Series (June 2020)","The Wilson Center","Potential Risks from Advanced Artificial Intelligence","$496,540","6/2020"
"VOCAL-NY — Prosecutor Accountability","VOCAL-NY","Criminal Justice Reform","$200,000","6/2020"
"Animal Advocacy Careers — General Support","Animal Advocacy Careers","Farm Animal Welfare","$432,000","6/2020"
"Stanford University — Coronavirus Drug Research (June 2020) (Jeffrey Glenn)","Stanford University","Scientific Research","$2,531,000","6/2020"
"Frontline Dads — General Support (June 2020)","Frontline Dads","Criminal Justice Reform","$15,000","6/2020"
"World of Good — Research on Farm Animal Welfare Legislation","World of Good ","Farm Animal Welfare","$10,178","6/2020"
"Foundation for Food and Agriculture Research — Chickpea and Corn Zein Research","Foundation for Food and Agriculture Research","Farm Animal Welfare","$444,000","6/2020"
"Foundation for Food and Agriculture Research — Plant Protein Optimization Research","Foundation for Food and Agriculture Research","Scientific Research","$250,000","6/2020"
"We Animals Media — Content for Farm Animal Welfare Advocacy (2020)","We Animals Media","Farm Animal Welfare","$517,000","6/2020"
"Food Frontier — Plant-Based Meat Alternatives","Food Frontier","Farm Animal Welfare","$200,000","6/2020"
"JusticeLA — General Support","JusticeLA","Criminal Justice Reform","$100,000","6/2020"
"Andrew Lohn — A Paper on Machine Learning Model Robustness","Andrew Lohn","Potential Risks from Advanced Artificial Intelligence","$15,000","6/2020"
"Harvard University — Biosecurity and Biosafety","Harvard University ","Biosecurity and Pandemic Preparedness","$315,000","6/2020"
"Center for Popular Democracy — Fed Up Campaign (2020)","Center for Popular Democracy","Macroeconomic Stabilization Policy","$465,000","6/2020"
"CAF America — Farm Animal Welfare","CAF America","Farm Animal Welfare","$130,670","6/2020"
"Centre for the Governance of AI — General Support","Centre for the Governance of AI","Potential Risks from Advanced Artificial Intelligence","$450,000","5/2020"
"Encompass — Diversity in the Farm Animal Welfare Movement ","Encompass","Farm Animal Welfare","$200,000","5/2020"
"Center for Population-Level Bioethics — General Support","Center for Population-Level Bioethics","Biosecurity and Pandemic Preparedness","$250,000","5/2020"
"Kainomyx — Antimalarial Drug","Kainomyx","Scientific Research","$1,999,999","5/2020"
"Charity Entrepreneurship — Development of New Animal Welfare Charities","Charity Entrepreneurship","Farm Animal Welfare","$260,000","5/2020"
"Working Families Party — Prosecutor Reforms in New York (2020)","Working Families Party","Criminal Justice Reform","$117,300","5/2020"
"International Conference on Learning Representations — Machine Learning Paper Awards","International Conference on Learning Representations","Potential Risks from Advanced Artificial Intelligence","$3,500","5/2020"
"Gryphon Scientific — Empirical Biosafety Research","Gryphon Scientific","Biosecurity and Pandemic Preparedness","$2,000,000","5/2020"
"Future of Humanity Institute — Research Scholars Programme","Future of Humanity Institute","Global Catastrophic Risks","$1,586,224","5/2020"
"The Leadership Conference on Civil and Human Rights — Federal Criminal Justice Reform Advocacy (April 2020)","The Leadership Conference on Civil and Human Rights","Criminal Justice Reform","$75,000","5/2020"
"Animal Outlook — Factory Farm Investigations Media Coverage","Animal Outlook","Farm Animal Welfare","$44,200","5/2020"
"The Pollination Project — Farm Animal and Veg Advocacy Conference","The Pollination Project","Farm Animal Welfare","$75,800","5/2020"
"Public Policy and Education Fund of New York — Criminal Justice Reform","Public Policy and Education Fund of New York","Criminal Justice Reform","$15,000","5/2020"
"Duke University — COVID-19 Antiviral Studies (Ria Goswami)","Duke University","Scientific Research","$130,982","5/2020"
"Penn State University — Research on Emergency Food Resilience (Charles Anderson) (2020)","Penn State University","Scientific Research","$3,064,660","5/2020"
"Eurogroup for Animals — EU Chicken Welfare Advocacy (2020)","Eurogroup for Animals","Farm Animal Welfare","$635,000","5/2020"
"Mijente — Criminal Justice Reform (2020)","Mijente","Criminal Justice Reform","$100,000","5/2020"
"1Day Sooner — General Support (May 2020)","1Day Sooner","Biosecurity and Pandemic Preparedness","$500,000","5/2020"
"Mass Liberation Arizona — General Support","Mass Liberation Arizona","Criminal Justice Reform","$10,000","5/2020"
"Soroka Medical Center — COVID-19 Interferon Lambda Trial Study (Ohad Etzion)","Soroka Medical Center","Scientific Research","$55,000","5/2020"
"Court Watch NOLA — General Support (2020)","Court Watch NOLA","Criminal Justice Reform","$15,000","5/2020"
"Stanford University — Preclinical Research on Hepatitis B (Jeffrey Glenn)","Stanford University","Scientific Research","$915,000","5/2020"
"Humane Society International — African Swine Fever Training (2020)","Humane Society International","Farm Animal Welfare","$60,000","5/2020"
"You Are Not Alone — Drug Possession Decriminalization","You Are Not Alone","Criminal Justice Reform","$30,000","5/2020"
"Open Phil AI Fellowship — 2020 Class","Open Phil AI Fellowship","Potential Risks from Advanced Artificial Intelligence","$2,300,000","5/2020"
"Conservative Animal Welfare Foundation — Farm Animal Welfare Advocacy","Conservative Animal Welfare Foundation","Farm Animal Welfare","$488,467","5/2020"
"Sinergia Animal — Corporate Cage-Free Campaigns","Sinergia Animal","Farm Animal Welfare","$800,000","5/2020"
"Movement Voter Project — Criminal Justice Reform (2020)","Movement Voter Project","Criminal Justice Reform","$1,500,000","5/2020"
"Life Sciences Research Foundation — Young Investigators (2020)","Life Sciences Research Foundation","Scientific Research","$585,000","5/2020"
"Nuclear Threat Initiative — Biosecurity Program Support (May 2020)","Nuclear Threat Initiative","Biosecurity and Pandemic Preparedness","$500,000","5/2020"
"World Economic Forum — Global AI Council Workshop","World Economic Forum","Potential Risks from Advanced Artificial Intelligence","$50,000","4/2020"
"Foundation for Food and Agriculture Research — Research on Drought-Tolerant Rice","Foundation for Food and Agriculture Research","Scientific Research","$97,500","4/2020"
"Global Priorities Institute — General Support (2020)","Global Priorities Institute","Other areas","$3,298,715","4/2020"
"Harvard University — COVID-19 Serological Tests (Michael Mina)","Harvard University","Scientific Research","$1,784,981","4/2020"
"New Incentives — General Support (2020)","New Incentives","Global Health & Development","$1,897,905","4/2020"
"Equity and Transformation — General Support","Equity and Transformation","Criminal Justice Reform","$25,000","4/2020"
"LessWrong — General Support","LessWrong","Other areas","$300,000","4/2020"
"Mercy Corps — Seasonal Migration Pilot Project and RCT","Mercy Corps","Immigration Policy","$1,000,000","4/2020"
"Law for Black Lives — Criminal Justice Reform (2020)","Law for Black Lives","Criminal Justice Reform","$100,000","4/2020"
"Southerners on New Ground — Criminal Justice Reform Work","Southerners On New Ground","Criminal Justice Reform","$100,000","4/2020"
"Rutgers University — Nuclear Conflict Climate Modeling (2020)","Rutgers University","Global Catastrophic Risks","$3,000,000","4/2020"
"Amistad Law Project — General Support (April 2020)","Amistad Law Project","Criminal Justice Reform","$15,000","4/2020"
"Center for Global Development — COVID-19 Net Health Impact Calculations","Center for Global Development","Global Health & Development","$550,000","4/2020"
"Families Against Mandatory Minimums — General Support","Families Against Mandatory Minimums","Criminal Justice Reform","$15,000","4/2020"
"Sea-Long Global Respiratory Systems — COVID-19 Ventilation Helmet Production","Sea-Long Global Respiratory Systems ","Biosecurity and Pandemic Preparedness","$325,000","4/2020"
"Reducetarian Foundation — Fish Consumption Messaging Research","Reducetarian Foundation","Farm Animal Welfare","$14,190","4/2020"
"Riverside Justice Table — Criminal Justice Reform Work","Riverside Justice Table","Criminal Justice Reform","$15,000","4/2020"
"Equalia — Broiler Welfare and Cage-Free Campaigns and International Farm Animal Welfare Investigations","Equalia","Farm Animal Welfare","$150,000","4/2020"
"Animal Nepal — Farm Animal Welfare","Animal Nepal ","Farm Animal Welfare","$271,700","4/2020"
"African Union Development Agency — General Support (2020)","African Union Development Agency","Scientific Research","$2,500,000","4/2020"
"University of Michigan — COVID-19 Protein Production (Aubree Gordon)","University of Michigan ","Scientific Research","$348,000","4/2020"
"Icahn School of Medicine at Mount Sinai — COVID-19 Diagnostic Testing (Adolfo García-Sastre)","Icahn School of Medicine at Mount Sinai","Scientific Research","$627,700","4/2020"
"Truth, Reconciliation, and Reparations — General Support","Truth, Reconciliation, and Reparations","Criminal Justice Reform","$25,000","4/2020"
"National Council for Incarcerated and Formerly Incarcerated Women and Girls — General Support (2020)","National Council for Incarcerated and Formerly Incarcerated Women and Girls","Criminal Justice Reform","$250,000","4/2020"
"iGEM — Synthetic Biology Safety and Security (2020)","International Genetically Engineered Machine Foundation ","Biosecurity and Pandemic Preparedness","$940,000","4/2020"
"Engineers Without Borders USA — COVID-19 Hospital Equipment","Engineers Without Borders USA","Scientific Research","$250,000","4/2020"
"Brown Institute for Media Innovation — COVID-19 Rapid Micro-Grants","Brown Institute for Media Innovation","Biosecurity and Pandemic Preparedness","$15,000","4/2020"
"Florida Rights Restoration Coalition — General Support (2020)","Florida Rights Restoration Coalition","Criminal Justice Reform","$500,000","4/2020"
"Foundation for Food and Agriculture Research — Farm Animal Welfare Research (2020)","Foundation for Food and Agriculture Research","Farm Animal Welfare","$500,000","4/2020"
"UC Berkeley — Research on Rapid COVID-19 Serology Testing (Lisa Barcellos and Eva Harris)","UC Berkeley","Scientific Research","$1,300,000","4/2020"
"University of Colorado — COVID-19 Personal Protective Equipment Experiments","University of Colorado","Biosecurity and Pandemic Preparedness","$250,000","4/2020"
"Compassion in World Farming USA — Global EggTrack Program","Compassion in World Farming USA","Farm Animal Welfare","$78,750","4/2020"
"Effective Altruism Foundation — European Policy Research","Effective Altruism Foundation","Global Health & Development","$15,358","4/2020"
"A New Way of Life — General Support","A New Way of Life","Criminal Justice Reform","$25,000","4/2020"
"Californians for Stem Cell Research, Treatments and Cures — California Institute for Regenerative Medicine","Californians for Stem Cell Research, Treatments and Cures","Scientific Research","$580,000","4/2020"
"Rockefeller University — Viral Histone Mimics (Alexander Tarakhovsky) (2020)","Rockefeller University","Scientific Research","$200,000","4/2020"
"fair-fish international association — General Support","fair-fish international association","Farm Animal Welfare","$630,370","3/2020"
